[JobB-LONGLIU-MAIN] Loaded T_target=3905.16ms from /tmp/ttarget_v5_jobB.json (preset_target=True)
[MultiComm] Loading library from /home/why/LongLiu_rebuild/current/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: active priorities = 0 1 2 3 4 5 6 (7 total)
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29521...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=40, ToS=160)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=32, ToS=128)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=24, ToS=96)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=0, ToS=0)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=16, ToS=64)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=8, ToS=32)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=8)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29521, priority=P3
[JobB-LONGLIU-MAIN] scheduler=v1(pi), queue=SP, payload=1024MB (fixed), reverse_epoch=7 (c_i swap), num_iters=300
[JobB-LONGLIU-MAIN] Phase 1 (epoch 0-6): c_i=3.0
[JobB-LONGLIU-MAIN] Phase 2 (epoch 7-14): c_i=1.2
[JobB-LONGLIU-MAIN] GPU 0: Quadro RTX 4000, free=6.2 GB
[JobB-LONGLIU-MAIN] Warmup done.
[MultiComm] Rank 0: switching priority P6 -> P3 (DSCP 8 -> 16)
[JobB-LONGLIU-MAIN] iter  38 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=414.1ms, bw=10.37 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  39 (epoch 1): payload=1024MB, c_i=3.0, sleep=30000us, comm=427.0ms, bw=10.06 Gbps [phase1]
[SLO] Epoch 2: π=-0.434 (A=13.25s, expected=23.43s, T_target=3905.2ms, k=2), Priority P1 -> P2 (DSCP 32 -> 24)
[MultiComm] Rank 0: switching priority P1 -> P2 (DSCP 32 -> 24)
[JobB-LONGLIU-MAIN] iter  40 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=590.6ms, bw=7.27 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  41 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=405.6ms, bw=10.59 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  42 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=419.4ms, bw=10.24 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  43 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=397.3ms, bw=10.81 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  44 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=442.0ms, bw=9.72 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  45 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=405.1ms, bw=10.60 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  46 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=417.7ms, bw=10.28 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  47 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=370.9ms, bw=11.58 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  48 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=434.1ms, bw=9.89 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  49 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=370.7ms, bw=11.59 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  50 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=391.6ms, bw=10.97 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  51 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=422.7ms, bw=10.16 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  52 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=426.8ms, bw=10.06 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  53 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=408.3ms, bw=10.52 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  54 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=424.4ms, bw=10.12 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  55 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=442.6ms, bw=9.70 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  56 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=401.3ms, bw=10.70 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  57 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=411.9ms, bw=10.43 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  58 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=440.6ms, bw=9.75 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  59 (epoch 2): payload=1024MB, c_i=3.0, sleep=30000us, comm=422.3ms, bw=10.17 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  60 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=402.6ms, bw=10.67 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  61 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=354.9ms, bw=12.10 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  62 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=432.1ms, bw=9.94 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  63 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=442.8ms, bw=9.70 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  64 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=440.5ms, bw=9.75 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  65 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=411.3ms, bw=10.44 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  66 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=413.3ms, bw=10.39 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  67 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=449.1ms, bw=9.56 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  68 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=439.7ms, bw=9.77 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  69 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=423.8ms, bw=10.14 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  70 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=418.8ms, bw=10.26 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  71 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=388.5ms, bw=11.06 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  72 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=415.7ms, bw=10.33 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  73 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=416.7ms, bw=10.31 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  74 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=414.0ms, bw=10.37 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  75 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=176.3ms, bw=24.36 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  76 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=186.7ms, bw=23.01 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  77 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=195.7ms, bw=21.95 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  78 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=214.9ms, bw=19.98 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  79 (epoch 3): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.3ms, bw=20.43 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  80 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=202.2ms, bw=21.25 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  81 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=216.7ms, bw=19.82 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  82 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=206.1ms, bw=20.83 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  83 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=218.8ms, bw=19.63 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  84 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=198.5ms, bw=21.64 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  85 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=216.0ms, bw=19.88 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  86 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.5ms, bw=20.40 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  87 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.6ms, bw=20.39 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  88 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=212.8ms, bw=20.18 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  89 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=214.6ms, bw=20.01 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  90 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=224.2ms, bw=19.16 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  91 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=218.8ms, bw=19.63 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  92 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=198.1ms, bw=21.68 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  93 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=223.8ms, bw=19.19 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  94 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=207.0ms, bw=20.75 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  95 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.8ms, bw=20.37 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  96 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.4ms, bw=20.41 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  97 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=207.6ms, bw=20.69 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  98 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=214.3ms, bw=20.05 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter  99 (epoch 4): payload=1024MB, c_i=3.0, sleep=30000us, comm=200.1ms, bw=21.46 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 100 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=223.9ms, bw=19.18 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 101 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.8ms, bw=20.38 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 102 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=217.4ms, bw=19.76 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 103 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=206.2ms, bw=20.83 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 104 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=203.0ms, bw=21.16 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 105 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.8ms, bw=20.37 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 106 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=215.8ms, bw=19.90 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 107 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=222.9ms, bw=19.27 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 108 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=217.6ms, bw=19.74 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 109 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=201.9ms, bw=21.27 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 110 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=229.2ms, bw=18.74 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 111 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=218.9ms, bw=19.63 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 112 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=214.2ms, bw=20.05 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 113 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=215.9ms, bw=19.89 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 114 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=214.7ms, bw=20.00 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 115 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=220.0ms, bw=19.52 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 116 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=218.6ms, bw=19.65 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 117 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=206.4ms, bw=20.81 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 118 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=218.9ms, bw=19.62 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 119 (epoch 5): payload=1024MB, c_i=3.0, sleep=30000us, comm=202.4ms, bw=21.22 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 120 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=201.9ms, bw=21.28 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 121 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=206.2ms, bw=20.83 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 122 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=204.6ms, bw=20.99 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 123 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=206.5ms, bw=20.80 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 124 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=213.3ms, bw=20.13 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 125 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=219.6ms, bw=19.55 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 126 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=206.8ms, bw=20.77 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 127 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=223.3ms, bw=19.23 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 128 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=220.3ms, bw=19.50 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 129 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=215.3ms, bw=19.95 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 130 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.7ms, bw=20.38 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 131 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=210.5ms, bw=20.41 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 132 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=214.8ms, bw=19.99 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 133 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=223.1ms, bw=19.25 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 134 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=215.1ms, bw=19.96 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 135 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=219.9ms, bw=19.53 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 136 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=218.4ms, bw=19.67 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 137 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=208.8ms, bw=20.57 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 138 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=201.9ms, bw=21.27 Gbps [phase1]
[JobB-LONGLIU-MAIN] iter 139 (epoch 6): payload=1024MB, c_i=3.0, sleep=30000us, comm=236.8ms, bw=18.14 Gbps [phase1]
[SLO] c_i updated: 3.00 → 1.20
[JobB-LONGLIU-MAIN] *** c_i SWAP at epoch 7: now c_i=1.2 ***
[JobB-LONGLIU-MAIN] iter 140 (epoch 7): payload=1024MB, c_i=1.2, sleep=30000us, comm=223.5ms, bw=19.21 Gbps [phase2]
[JobB-LONGLIU-MAIN] iter 141 (epoch 7): payload=1024MB, c_i=1.2, sleep=30000us, comm=207.2ms, bw=20.73 Gbps [phase2]
[JobB-LONGLIU-MAIN] iter 142 (epoch 7): payload=1024MB, c_i=1.2, sleep=30000us, comm=216.1ms, bw=19.87 Gbps [phase2]
[JobB-LONGLIU-MAIN] iter 143 (epoch 7): payload=1024MB, c_i=1.2, sleep=30000us, comm=222.3ms, bw=19.32 Gbps [phase2]
[JobB-LONGLIU-MAIN] iter 144 (epoch 7): payload=1024MB, c_i=1.2, sleep=30000us, comm=215.4ms, bw=19.94 Gbps [phase2]
[JobB-LONGLIU-MAIN] iter 145 (epoch 7): payload=1024MB, c_i=1.2, sleep=30000us, comm=212.2ms, bw=20.24 Gbps [phase2]
[JobB-LONGLIU-MAIN] iter 146 (epoch 7): payload=1024MB, c_i=1.2, sleep=30000us, comm=218.7ms, bw=19.64 Gbps [phase2]
[JobB-LONGLIU-MAIN] iter 147 (epoch 7): payload=1024MB, c_i=1.2, sleep=30000us, comm=202.2ms, bw=21.24 Gbps [phase2]
[JobB-LONGLIU-MAIN] iter 148 (epoch 7): payload=1024MB, c_i=1.2, sleep=30000us, comm=210.4ms, bw=20.41 Gbps [phase2]
[JobB-LONGLIU-MAIN] iter 149 (epoch 7): payload=1024MB, c_i=1.2, sleep=30000us, comm=218.6ms, bw=19.65 Gbps [phase2]
[JobB-LONGLIU-MAIN] iter 150 (epoch 7): payload=1024MB, c_i=1.2, sleep=30000us, comm=220.9ms, bw=19.44 Gbps [phase2]
